ticker,name,sector,subsector,industry,subindustry
LAPD,Leyand International Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
LCGP,Eureka Prima Jakarta Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
LEAD,Logindo Samudramakmur Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
LINK,Link Net Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service
LION,Lion Metal Works Tbk.,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures
LMAS,Limas Indonesia Makmur Tbk.,Consumer Cyclicals,Household Goods,Household Goods,Household Appliances
LMPI,Langgeng Makmur Industri Tbk.,Consumer Cyclicals,Household Goods,Household Goods,Housewares & Specialties
LMSH,Lionmesh Prima Tbk.,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures
LPCK,Lippo Cikarang Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
LPGI,Lippo General Insurance Tbk.,Financials,Insurance,Insurance,General Insurance
LPIN,Multi Prima Sejahtera Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Specialty Stores
LPKR,Lippo Karawaci Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
LPLI,Star Pacific Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
LPPF,Matahari Department Store Tbk.,Consumer Cyclicals,Retailing,Department Stores,Department Stores
LPPS,Lenox Pasifik Investama Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
LRNA,Eka Sari Lorena Transport Tbk.,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation
LSIP,PP London Sumatra Indonesia Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
LTLS,Lautan Luas Tbk.,Basic Materials,Chemicals,Specialty Chemical,Specialty Chemical
MAGP,Multi Agro Gemilang Plantation Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
MAIN,Malindo Feedmill Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat & Poultry"
MAPI,Mitra Adiperkasa Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Specialty Stores
MAYA,Bank Mayapada Internasional Tbk.,Financials,Banks,Banks,Banks
MBAP,Mitrabara Adiperdana Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
MBSS,Mitrabahtera Segara Sejati Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
MBTO,Martina Berto Tbk.,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products
MCOR,Bank China Construction Bank Indonesia Tbk.,Financials,Banks,Banks,Banks
MDIA,Intermedia Capital Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Broadcasting
MDKA,Merdeka Copper Gold Tbk.,Basic Materials,Metals & Minerals,Gold,Gold
MDLN,Modernland Realty Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
MDRN,Modern Internasional Tbk.,Consumer Cyclicals,Retailing,Consumer Distributors,Consumer Distributors
MEDC,Medco Energi Internasional Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
MEGA,Bank Mega Tbk.,Financials,Banks,Banks,Banks
MERK,Merck Tbk.,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals
META,Nusantara Infrastructure Tbk.,Infrastructures,Transportation Infrastructure,Transport Infrastructure Operator,Marine Ports & Services
MFMI,Multifiling Mitra Indonesia Tbk.,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries
MGNA,Magna Investama Mandiri Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
MICE,Multi Indocitra Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
MIDI,Midi Utama Indonesia Tbk.,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Supermarkets & Convenience Store
MIKA,Mitra Keluarga Karyasehat Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers
MIRA,Mitra International Resources Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
MITI,Mitra Investindo Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
MKPI,Metropolitan Kentjana Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
MLBI,Multi Bintang Indonesia Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Liquors
MLIA,Mulia Industrindo Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
MLPL,Multipolar Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
MLPT,Multipolar Technology Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting
MMLP,Mega Manunggal Property Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
MNCN,Media Nusantara Citra Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Broadcasting
MPMX,Mitra Pinasthika Mustika Tbk.,Consumer Cyclicals,Automobiles & Components,Consumer Distributors,Consumer Distributors
MPPA,Matahari Putra Prima Tbk.,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Food Retail & Distributors
MRAT,Mustika Ratu Tbk.,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products
MREI,Maskapai Reasuransi Indonesia Tbk.,Financials,Insurance,Insurance,Reinsurance
MSKY,MNC Sky Vision Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Cable & Satellite
MTDL,Metrodata Electronics Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting
MTFN,Capitalinc Investment Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
MTLA,Metropolitan Land Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
MTSM,Metro Realty Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
MYOH,Samindo Resources Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
MYOR,Mayora Indah Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
MYTX,Asia Pacific Investama Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
NELY,Pelayaran Nelly Dwi Putri Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
NIKL,Pelat Timah Nusantara Tbk.,Basic Materials,Metals & Minerals,Iron & Steel,Iron & Steel
NIRO,City Retail Developments Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
NISP,Bank OCBC NISP Tbk.,Financials,Banks,Banks,Banks
NOBU,Bank Nationalnobu Tbk.,Financials,Banks,Banks,Banks
NRCA,Nusa Raya Cipta Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
OCAP,Onix Capital Tbk.,Financials,Investment Service,Investment Services,Investment Management
OKAS,Ancora Indonesia Resources Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
OMRE,Indonesia Prima Property Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
PADI,Minna Padi Investama Sekuritas Tbk.,Financials,Investment Service,Investment Services,Investment Banking & Brokerage Services
PALM,Provident Investasi Bersama Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
PANR,Panorama Sentrawisata Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Travel Agencies
PANS,Panin Sekuritas Tbk.,Financials,Investment Service,Investment Services,Investment Banking & Brokerage Services
PBRX,Pan Brothers Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
PDES,Destinasi Tirta Nusantara Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Recreational & Sports Facilities
PEGE,Panca Global Kapital Tbk.,Financials,Investment Service,Investment Services,Investment Management
PGAS,Perusahaan Gas Negara Tbk.,Infrastructures,Utilities,Gas Utilities,Gas Utilities
PGLI,Pembangunan Graha Lestari Indah Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
PICO,Pelangi Indah Canindo Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
PJAA,Pembangunan Jaya Ancol Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Recreational & Sports Facilities
PKPK,Paragon Karya Perkasa Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
PLAS,Polaris Investama Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
PLIN,Plaza Indonesia Realty Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
PNBN,Bank Pan Indonesia Tbk.,Financials,Banks,Banks,Banks
PNBS,Bank Panin Dubai Syariah Tbk.,Financials,Banks,Banks,Banks
PNIN,Paninvest Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
PNLF,Panin Financial Tbk.,Financials,Holding & Investment Companies,Financial Holdings,Financial Holdings
PNSE,Pudjiadi & Sons Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
POLY,Asia Pacific Fibers Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
POOL,Pool Advista Indonesia Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
PPRO,PP Properti Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
PSAB,J Resources Asia Pasifik Tbk.,Basic Materials,Metals & Minerals,Gold,Gold
PSDN,Prasidha Aneka Niaga Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
PSKT,Red Planet Indonesia Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
PTBA,Bukit Asam Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
PTIS,Indo Straits Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services"
PTPP,PP (Persero) Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
PTRO,Petrosea Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services"
PTSN,Sat Nusapersada Tbk.,Technology,Technology Hardware & Equipment,Electronic Equipment & Instruments,Electronic Equipment & Instruments
PTSP,Pioneerindo Gourmet International Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants
PUDP,Pudjiadi Prestige Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
PWON,Pakuwon Jati Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
PYFA,Pyridam Farma Tbk.,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals
RAJA,Rukun Raharja Tbk.,Infrastructures,Utilities,Gas Utilities,Gas Utilities
RALS,Ramayana Lestari Sentosa Tbk.,Consumer Cyclicals,Retailing,Department Stores,Department Stores
RANC,Supra Boga Lestari Tbk.,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Food Retail & Distributors
RBMS,Ristia Bintang Mahkotasejati Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
RDTX,Roda Vivatex Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
RELI,Reliance Sekuritas Indonesia Tbk.,Financials,Investment Service,Investment Services,Investment Banking & Brokerage Services
RICY,Ricky Putra Globalindo Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
RIGS,Rig Tenders Indonesia Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports",Oil & Gas Drilling Service
RIMO,Rimo International Lestari Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
RODA,Pikko Land Development Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
ROTI,Nippon Indosari Corpindo Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
RUIS,Radiant Utama Interinsco Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services"
SAFE,Steady Safe Tbk.,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation
SAME,Sarana Meditama Metropolitan Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers
SCCO,Supreme Cable Manufacturing & Commerce Tbk.,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment
SCMA,Surya Citra Media Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Broadcasting
SCPI,Organon Pharma Indonesia Tbk.,Healthcare,Pharmaceuticals & Health Care Research,Pharmaceuticals,Pharmaceuticals
SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation
SDPC,Millennium Pharmacon International Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Supplies & Distributions,Healthcare Supplies & Distributions
SDRA,Bank Woori Saudara Indonesia Tbk.,Financials,Banks,Banks,Banks
SGRO,Sampoerna Agro Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
SHID,Hotel Sahid Jaya International Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
SIDO,Industri Jamu dan Farmasi Sido Muncul Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
SILO,Siloam International Hospitals Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers
SIMA,Siwani Makmur Tbk.,Industrials,Industrial Services,Business Support Services,Business Support Services
SIMP,Salim Ivomas Pratama Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
SIPD,Sreeya Sewu Indonesia Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat & Poultry"
SKBM,Sekar Bumi Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
SKLT,Sekar Laut Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
SKYB,Northcliff Citranusa Indonesia Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
SMAR,Sinar Mas Agro Resources and Technology Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
SMBR,Semen Baturaja Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
SMCB,Solusi Bangun Indonesia Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
SMDM,Suryamas Dutamakmur Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
SMDR,Samudera Indonesia Tbk.,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries
SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
SMMA,Sinarmas Multiartha Tbk.,Financials,Holding & Investment Companies,Financial Holdings,Financial Holdings
SMMT,Golden Eagle Energy Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
SMRA,Summarecon Agung Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
SMRU,SMR Utama Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
SMSM,Selamat Sempurna Tbk.,Consumer Cyclicals,Automobiles & Components,Auto Components,Auto Parts & Equipment
SOCI,Soechi Lines Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
SONA,Sona Topas Tourism Industry Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines"
SPMA,Suparma Tbk.,Basic Materials,Forestry & Paper,Paper,Paper
SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials,Metals & Minerals,Gold,Gold
SRAJ,Sejahteraraya Anugrahjaya Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers
SRIL,Sri Rejeki Isman Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
SRSN,Indo Acidatama Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
SRTG,Saratoga Investama Sedaya Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
SSIA,Surya Semesta Internusa Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
SSMS,Sawit Sumbermas Sarana Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
SSTM,Sunson Textile Manufacture Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
STAR,Buana Artha Anugerah Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
STTP,Siantar Top Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
SUGI,Sugih Energy Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
SULI,SLJ Global Tbk.,Basic Materials,Forestry & Paper,Timber,Timber
SUPR,Solusi Tunas Pratama Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service
TALF,Tunas Alfin Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
TARA,Agung Semesta Sejahtera Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
TAXI,Express Transindo Utama Tbk.,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation
TBIG,Tower Bersama Infrastructure Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wireless Telecommunication Services
TBLA,Tunas Baru Lampung Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
TBMS,Tembaga Mulia Semanan Tbk.,Basic Materials,Metals & Minerals,Copper,Copper
TCID,Mandom Indonesia Tbk.,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products
TELE,Omni Inovasi Indonesia Tbk.,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services
TFCO,Tifico Fiber Indonesia Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
TGKA,Tigaraksa Satria Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
TIFA,KDB Tifa Finance Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
TINS,Timah Tbk.,Basic Materials,Metals & Minerals,Precious Metals & Minerals,Precious Metals & Minerals
TIRA,Tira Austenite Tbk.,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,Diversified Metals & Minerals
TIRT,Tirta Mahakam Resources Tbk.,Basic Materials,Forestry & Paper,Timber,Timber
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials,Forestry & Paper,Paper,Paper
TLKM,Telkom Indonesia (Persero) Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Integrated Telecommunication Service
TMAS,Temas Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
TMPO,Tempo Intimedia Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Consumer Publishing
TOBA,TBS Energi Utama Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
TOTL,Total Bangun Persada Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
TOTO,Surya Toto Indonesia Tbk.,Industrials,Industrial Goods,Building Products & Fixtures,Building Products & Fixtures
TOWR,Sarana Menara Nusantara Tbk.,Infrastructures,Telecommunication,Telecommunication Service,Wired Telecommunication Service
TPIA,Chandra Asri Pacific Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
TPMA,Trans Power Marine Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
TRAM,Trada Alam Minera Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
TRIL,Triwira Insanlestari Tbk.,Industrials,Industrial Goods,Machinery,Industrial Machinery & Components
TRIM,Trimegah Sekuritas Indonesia Tbk.,Financials,Investment Service,Investment Services,Investment Banking & Brokerage Services
TRIO,Trikomsel Oke Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Electronics Retail
TRIS,Trisula International Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Textiles,Textiles
TRST,Trias Sentosa Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
TRUS,Trust Finance Indonesia Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
TSPC,Tempo Scan Pacific Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
ULTJ,Ultrajaya Milk Industry & Trading Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
UNIC,Unggul Indah Cahaya Tbk.,Basic Materials,Chemicals,Basic Chemicals,Basic Chemicals
UNIT,Nusantara Inti Corpora Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
UNSP,Bakrie Sumatera Plantations Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
UNTR,United Tractors Tbk.,Industrials,Industrial Goods,Machinery,Construction Machinery & Heavy Vehicles
UNVR,Unilever Indonesia Tbk.,Consumer Non-Cyclicals,Nondurable Household Products,Household Products,Household Products
VICO,Victoria Investama Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
VINS,Victoria Insurance Tbk.,Financials,Insurance,Insurance,General Insurance
VIVA,Visi Media Asia Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Broadcasting
VOKS,Voksel Electric Tbk.,Industrials,Industrial Goods,Electrical,Electrical Components & Equipment
VRNA,Mizuho Leasing Indonesia Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
WAPO,Wahana Pronatural Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,Plantations & Crops
WEHA,WEHA Transportasi Indonesia Tbk.,Transportation & Logistic,Transportation,Passenger Land Transportation,Road Transportation
WICO,Wicaksana Overseas International Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
WIIM,Wismilak Inti Makmur Tbk.,Consumer Non-Cyclicals,Tobacco,Tobacco,Tobacco
WIKA,Wijaya Karya (Persero) Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
WINS,Wintermar Offshore Marine Tbk.,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services"
WOMF,Wahana Ottomitra Multiartha Tbk.,Financials,Financing Service,Consumer Financing,Consumer Financing
WSKT,Waskita Karya (Persero) Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
WTON,Wijaya Karya Beton Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
YPAS,Yanaprima Hastapersada Tbk.,Basic Materials,Containers & Packaging,Containers & Packaging,Containers & Packaging
YULE,Yulie Sekuritas Indonesia Tbk.,Financials,Investment Service,Investment Services,Investment Banking & Brokerage Services
ZBRA,Dosni Roha Indonesia Tbk.,Industrials,Industrial Services,Business Support Services,Business Support Services
SHIP,Sillo Maritime Perdana Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
CASA,Capital Financial Indonesia Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
DAYA,Duta Intidaya Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Specialty Stores
DPUM,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat & Poultry"
IDPR,Indonesia Pondasi Raya Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
JGLE,Graha Andrasentra Propertindo Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
KINO,Kino Indonesia Tbk.,Consumer Non-Cyclicals,Nondurable Household Products,Personal Care Products,Personal Care Products
MARI,Mahaka Radio Integra Tbk.,Consumer Cyclicals,Media & Entertainment,Media,Broadcasting
MKNT,Mitra Komunikasi Nusantara Tbk.,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting
MTRA,Mitra Pemuda Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
OASA,Maharaksa Biru Energi Tbk.,Energy,"Oil, Gas & Coal",Oil & Gas,Oil & Gas Production & Refinery
POWR,Cikarang Listrindo Tbk.,Infrastructures,Utilities,Electric Utilities,Electric Utilities
INCF,Indo Komoditi Korpora Tbk.,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,Diversified Metals & Minerals
WSBP,Waskita Beton Precast Tbk.,Basic Materials,Construction Materials,Construction Materials,Construction Materials
PBSA,Paramita Bangun Sarana Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
PRDA,Prodia Widyahusada Tbk.,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers
BOGA,Bintang Oto Global Tbk.,Consumer Cyclicals,Retailing,Specialty Retail,Automotive Retail
BRIS,Bank Syariah Indonesia Tbk.,Financials,Banks,Banks,Banks
PORT,Nusantara Pelabuhan Handal Tbk.,Infrastructures,Transportation Infrastructure,Transport Infrastructure Operator,Marine Ports & Services
CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,Consumer Cyclicals,Automobiles & Components,Consumer Distributors,Consumer Distributors
MINA,Sanurhasta Mitra Tbk.,Properties & Real Estate,Real Estate,Real Estate Development,Real Estate Development
CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals,Food & Beverage,Beverages,Soft Drinks
TAMU,Pelayaran Tamarin Samudra Tbk.,Transportation & Logistic,Transportation,Passenger Marine Transportation,Passenger Marine Transportation
CSIS,Cahayasakti Investindo Sukses Tbk.,Financials,Holding & Investment Companies,Investment Companies,Investment Companies
TGRA,Terregra Asia Energy Tbk.,Energy,Alternative Energy,Alternative Energy Equipment,Alternative Energy Equipment
FIRE,Alfa Energi Investama Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
TOPS,Totalindo Eka Persada Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
KMTR,Kirana Megatara Tbk.,Basic Materials,Chemicals,Specialty Chemical,Specialty Chemical
ARMY,Armidian Karyatama Tbk.,Energy,"Oil, Gas & Coal",Coal,Coal Production
MAPB,MAP Boga Adiperkasa Tbk.,Consumer Cyclicals,Consumer Services,Tourism & Recreation,Restaurants
WOOD,Integra Indocabinet Tbk.,Consumer Cyclicals,Household Goods,Household Goods,Home Furnishings
HRTA,Hartadinata Abadi Tbk.,Consumer Cyclicals,Apparel & Luxury Goods,Specialty Retail,Specialty Stores
MABA,Marga Abhinaya Abadi Tbk.,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering
HOKI,Buyung Poetra Sembada Tbk.,Consumer Non-Cyclicals,Food & Beverage,Processed Foods,Processed Foods
MPOW,Megapower Makmur Tbk.,Infrastructures,Utilities,Electric Utilities,Electric Utilities
MARK,Mark Dynamics Indonesia Tbk.,Basic Materials,Chemicals,Specialty Chemical,Specialty Chemical
NASA,Andalan Perkasa Abadi Tbk.,Industrials,Industrial Services,Business Support Services,Business Support Services
